,infections C1,infections C2,infections C3,infections C4,AV total mileage,SCC C1,SCC C2,SCC C3,SCC C4,OM C1,OM C3,OM C4,deaths C1,deaths C2,deaths C3,deaths C4,VSL C1,VSL C2,VSL C3,VSL C4,externalities C1,externalities C2,externalities C3,externalities C4,OM C2,total C1,total C2,total C3,total C4
20,118,82,70,86,2020187.2622443014,316338.94800588477,632677.8960117695,361389.12395393266,466648.824126528,17048389.40668889,18866557.942708764,17048389.40668889,4.0356000000000005,2.8044000000000002,2.394,2.9412000000000003,46812960.00000001,32531040.000000004,27770400.0,34117920.0,170558.78074799996,341117.5614959999,372577.5069724301,170558.78074799996,34096778.81337778,64348247.135442786,67601614.27088556,47370924.57363512,51803517.01156342
21,124,89,74,75,2026791.4374080356,316338.94800588477,632677.8960117695,361536.397060084,466648.824126528,17048389.40668889,18872501.700356122,17048389.40668889,4.2408,3.0438,2.5308,2.565,49193280.0,35308080.0,29357280.000000004,29754000.0,170558.78074799996,341117.5614959999,373237.92448880355,170558.78074799996,34096778.81337778,66728567.13544278,70378654.27088556,48964556.02190501,47439597.01156342
22,121,96,86,67,2004216.5259882428,316338.94800588477,632677.8960117695,361032.9765354226,466648.824126528,17048389.40668889,18852184.28007831,17048389.40668889,4.1382,3.2832,2.9412000000000003,2.2914,48003120.00000001,38085120.0,34117920.0,26580240.0,170558.78074799996,341117.5614959999,370980.43334682425,170558.78074799996,34096778.81337778,65538407.135442786,73155694.27088556,53702117.689960554,44265837.01156342
23,124,89,73,94,2010187.3913747321,316338.94800588477,632677.8960117695,361166.1268335413,466648.824126528,17048389.40668889,18857558.05892615,17048389.40668889,4.2408,3.0438,2.4966,3.2148000000000003,49193280.0,35308080.0,28960560.0,37291680.00000001,170558.78074799996,341117.5614959999,371577.5198854732,170558.78074799996,34096778.81337778,66728567.13544278,70378654.27088556,48550861.70564517,54977277.01156343
24,111,75,58,72,2004183.656993663,316338.94800588477,632677.8960117695,361032.24355684343,466648.824126528,17048389.40668889,18852154.697983187,17048389.40668889,3.7962000000000002,2.565,1.9836,2.4624,44035920.0,29754000.0,23009760.0,28563840.0,170558.78074799996,341117.5614959999,370977.1464473663,170558.78074799996,34096778.81337778,61571207.13544278,64824574.27088555,42593924.0879874,46249437.01156342
25,100,60,52,72,2017678.0815453404,316338.94800588477,632677.8960117695,361333.1692243459,466648.824126528,17048389.40668889,18864299.6800797,17048389.40668889,3.42,2.052,1.7784,2.4624,39672000.0,23803200.0,20629440.0,28563840.0,170558.78074799996,341117.5614959999,372326.588902534,170558.78074799996,34096778.81337778,57207287.13544278,58873774.27088555,40227399.438206576,46249437.01156342
26,122,94,75,86,2012979.517412592,316338.94800588477,632677.8960117695,361228.39124418556,466648.824126528,17048389.40668889,18860070.972360224,17048389.40668889,4.1724000000000006,3.2148000000000003,2.565,2.9412000000000003,48399840.00000001,37291680.00000001,29754000.0,34117920.0,170558.78074799996,341117.5614959999,371856.73248925916,170558.78074799996,34096778.81337778,65935127.135442786,72362254.27088557,49347156.09609367,51803517.01156342
27,111,81,68,68,2007376.4808684727,316338.94800588477,632677.8960117695,361103.44352925173,466648.824126528,17048389.40668889,18855028.239470515,17048389.40668889,3.7962000000000002,2.7702,2.3256,2.3256,44035920.0,32134320.0,26976960.0,26976960.0,170558.78074799996,341117.5614959999,371296.42883484723,170558.78074799996,34096778.81337778,61571207.13544278,67204894.27088556,46564388.11183461,44662557.01156342
28,112,99,83,77,2003926.9034749467,316338.94800588477,632677.8960117695,361026.51795337605,466648.824126528,17048389.40668889,18851923.619816344,17048389.40668889,3.8304,3.3858,2.8386,2.6334,44432640.0,39275280.0,32927760.0,30547440.0,170558.78074799996,341117.5614959999,370951.47109549463,170558.78074799996,34096778.81337778,61967927.13544278,74345854.27088556,52511661.60886522,48233037.01156342
29,110,98,78,95,2014304.693610003,316338.94800588477,632677.8960117695,361257.9426733878,466648.824126528,17048389.40668889,18861263.630937893,17048389.40668889,3.762,3.3516,2.6676,3.249,43639200.0,38878560.0,30944160.000000004,37688400.0,170558.78074799996,341117.5614959999,371989.25010900025,170558.78074799996,34096778.81337778,61174487.13544278,73949134.27088556,50538670.823720284,55373997.01156342
30,96,74,61,73,2010847.977363692,316338.94800588477,632677.8960117695,361180.8579010951,466648.824126528,17048389.40668889,18858152.586316213,17048389.40668889,3.2832,2.5308,2.0862000000000003,2.4966,38085120.0,29357280.000000004,24199920.000000004,28960560.0,170558.78074799996,341117.5614959999,371643.57848436915,170558.78074799996,34096778.81337778,55620407.13544278,64427854.27088555,43790897.02270168,46646157.01156342
31,122,101,92,84,2026243.4650815004,316338.94800588477,632677.8960117695,361524.17727720225,466648.824126528,17048389.40668889,18872008.52526224,17048389.40668889,4.1724000000000006,3.4542,3.1464000000000003,2.8728000000000002,48399840.00000001,40068720.0,36498240.0,33324480.000000004,170558.78074799996,341117.5614959999,373183.12725615,170558.78074799996,34096778.81337778,65935127.135442786,75139294.27088556,56104955.829795584,51010077.01156343
32,127,97,74,65,1999167.2232734987,316338.94800588477,632677.8960117695,360920.3770848838,466648.824126528,17048389.40668889,18847639.90763504,17048389.40668889,4.3434,3.3174,2.5308,2.223,50383440.0,38481840.0,29357280.000000004,25786800.0,170558.78074799996,341117.5614959999,370475.50307534984,170558.78074799996,34096778.81337778,67918727.13544278,73552414.27088556,48936315.787795275,43472397.01156342
33,131,102,86,97,2013261.2588995502,316338.94800588477,632677.8960117695,361234.6740793447,466648.824126528,17048389.40668889,18860324.539698485,17048389.40668889,4.4802,3.4884,2.9412000000000003,3.3174,51970320.0,40465440.0,34117920.0,38481840.0,170558.78074799996,341117.5614959999,371884.906637955,170558.78074799996,34096778.81337778,69505607.13544278,75536014.27088556,53711364.12041578,56167437.01156342
34,142,73,54,82,2015053.1548223475,316338.94800588477,632677.8960117695,361274.63335842313,466648.824126528,17048389.40668889,18861937.246029004,17048389.40668889,4.8564,2.4966,1.8468,2.8044000000000002,56334240.0,28960560.0,21422880.0,32531040.000000004,170558.78074799996,341117.5614959999,372064.0962302347,170558.78074799996,34096778.81337778,73869527.13544278,64031134.27088555,41018155.97561766,50216637.01156343
35,123,97,80,86,2004181.38611546,316338.94800588477,632677.8960117695,361032.1929162595,466648.824126528,17048389.40668889,18852152.654192805,17048389.40668889,4.2066,3.3174,2.736,2.9412000000000003,48796560.0,38481840.0,31737600.000000004,34117920.0,170558.78074799996,341117.5614959999,370976.919359546,170558.78074799996,34096778.81337778,66331847.13544278,73552414.27088556,51321761.76646861,51803517.01156342
36,148,88,81,91,2010796.0906131256,316338.94800588477,632677.8960117695,361179.70082655747,466648.824126528,17048389.40668889,18858105.888240702,17048389.40668889,5.0616,3.0096000000000003,2.7702,3.1122,58714560.00000001,34911360.0,32134320.0,36101520.0,170558.78074799996,341117.5614959999,371638.38980931253,170558.78074799996,34096778.81337778,76249847.13544278,69981934.27088556,51725243.97887657,53787117.01156342
37,115,89,66,89,2020701.9131165454,316338.94800588477,632677.8960117695,361400.60066838376,466648.824126528,17048389.40668889,18867021.128493782,17048389.40668889,3.9330000000000003,3.0438,2.2572,3.0438,45622800.0,35308080.0,26183520.0,35308080.0,170558.78074799996,341117.5614959999,372628.97205965454,170558.78074799996,34096778.81337778,63158087.13544278,70378654.27088556,45784570.70122182,52993677.01156342
